START_POS,0 0 0,,,,,,,,,,,,,,,,,,,,,,
NUM_GRID,23 15,,,,,,,,,,,,,,,,,,,,,,
STARTSETSTAGE,,,,,,,,,,,,,,,,,,,,,,,
1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,
0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,
1,0,1,2,0,0,1,0,0,1,0,7,0,1,0,0,1,0,0,2,1,0,1,
0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,
1,1,1,0,1,10,0,0,1,0,1,1,1,0,1,0,0,0,1,0,1,1,1,
1,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0,1,0,0,0,0,0,1,
0,0,1,0,1,0,1,0,1,0,3,3,3,0,1,0,1,0,1,0,1,0,0,
1,1,1,7,1,2,0,7,0,0,3,4,3,0,0,7,0,2,1,7,1,1,1,
0,0,0,0,1,0,1,0,1,0,3,3,3,0,1,0,1,0,1,0,0,0,0,
1,0,1,0,0,0,1,0,1,0,0,2,0,0,1,0,1,0,0,0,1,0,1,
1,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,10,1,0,1,0,1,
0,0,0,0,1,1,1,1,6,0,0,1,0,0,6,1,1,1,1,0,0,0,0,
1,1,1,2,0,0,1,0,0,1,0,7,0,1,0,0,1,0,0,2,1,1,1,
0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,
1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,
ENDSETSTAGE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
