START_POS,0 0 0,,,,,,,,,,,,,,,,,,,,,,
NUM_GRID,23 15,,,,,,,,,,,,,,,,,,,,,,
STARTSETSTAGE,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,
1,1,1,11,1,1,1,1,1,1,1,8,1,1,1,1,1,1,1,11,1,1,1,
0,0,2,11,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,11,2,0,0,
1,1,1,11,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,11,1,1,1,
1,1,1,11,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,11,1,1,1,
1,1,1,11,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,11,1,1,1,
1,1,1,11,1,1,0,1,1,0,3,3,3,0,1,1,0,1,1,11,1,1,1,
0,0,0,5,0,0,2,0,0,0,3,4,3,0,0,0,2,0,0,5,0,0,0,
1,1,1,11,1,1,0,1,1,0,3,3,3,0,1,1,0,1,1,11,1,1,1,
1,1,1,11,1,1,0,1,1,6,0,0,0,6,1,1,0,1,1,11,1,1,1,
1,1,1,11,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,11,1,1,1,
1,1,1,11,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,11,1,1,1,
0,0,2,11,0,0,7,0,0,0,0,2,0,0,0,0,7,0,0,11,2,0,0,
1,1,1,11,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,11,1,1,1,
1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,
ENDSETSTAGE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
